기간,자치구,세대,인구,남자,여자,한국계,한국남자,한국여자,외국계,외국남자,외국여자,세대당인구,65세이상고령자
2016,종로구,72118 ,161922 ,79322 ,82600 ,152737 ,75201 ,77536 ,9185 ,4121 ,5064 ,2 ,25091 
2016,중구,59651 ,134409 ,66452 ,67957 ,125249 ,62204 ,63045 ,9160 ,4248 ,4912 ,2 ,20606 
2016,용산구,106607 ,245102 ,119636 ,125466 ,230241 ,111601 ,118640 ,14861 ,8035 ,6826 ,2 ,35915 
2016,성동구,128727 ,307161 ,152006 ,155155 ,299259 ,148326 ,150933 ,7902 ,3680 ,4222 ,2 ,39262 
2016,광진구,158390 ,372104 ,181251 ,190853 ,357215 ,174797 ,182418 ,14889 ,6454 ,8435 ,2 ,41441 
2016,동대문구,159426 ,370312 ,183444 ,186868 ,355069 ,177640 ,177429 ,15243 ,5804 ,9439 ,2 ,53460 
2016,중랑구,177400 ,415677 ,206772 ,208905 ,411005 ,204900 ,206105 ,4672 ,1872 ,2800 ,2 ,55914 
2016,성북구,188304 ,461617 ,224504 ,237113 ,450355 ,219951 ,230404 ,11262 ,4553 ,6709 ,2 ,64015 
2016,강북구,141229 ,330704 ,162211 ,168493 ,327195 ,160861 ,166334 ,3509 ,1350 ,2159 ,2 ,54053 
2016,도봉구,136898 ,350272 ,172006 ,178266 ,348220 ,171238 ,176982 ,2052 ,768 ,1284 ,3 ,50510 
2016,노원구,219736 ,571212 ,277866 ,293346 ,567581 ,276333 ,291248 ,3631 ,1533 ,2098 ,3 ,70887 
2016,은평구,201891 ,495937 ,241048 ,254889 ,491476 ,239183 ,252293 ,4461 ,1865 ,2596 ,2 ,71457 
2016,서대문구,136766 ,325871 ,156597 ,169274 ,314194 ,152510 ,161684 ,11677 ,4087 ,7590 ,2 ,47653 
2016,마포구,169432 ,390887 ,186668 ,204219 ,379892 ,182162 ,197730 ,10995 ,4506 ,6489 ,2 ,48303 
2016,양천구,177434 ,481845 ,238163 ,243682 ,477739 ,236290 ,241449 ,4106 ,1873 ,2233 ,3 ,52063 
2016,강서구,245045 ,602104 ,293734 ,308370 ,595485 ,290478 ,305007 ,6619 ,3256 ,3363 ,2 ,71062 
2016,구로구,172220 ,449600 ,225411 ,224189 ,417551 ,207667 ,209884 ,32049 ,17744 ,14305 ,2 ,55705 
2016,금천구,104483 ,254654 ,130429 ,124225 ,235386 ,119885 ,115501 ,19268 ,10544 ,8724 ,2 ,32279 
2016,영등포구,165729 ,406779 ,204712 ,202067 ,370613 ,185200 ,185413 ,36166 ,19512 ,16654 ,2 ,51844 
2016,동작구,172506 ,413247 ,201842 ,211405 ,400997 ,196267 ,204730 ,12250 ,5575 ,6675 ,2 ,55231 
2016,관악구,251955 ,525607 ,265034 ,260573 ,506851 ,256143 ,250708 ,18756 ,8891 ,9865 ,2 ,66952 
2016,서초구,173970 ,451477 ,216886 ,234591 ,447192 ,214673 ,232519 ,4285 ,2213 ,2072 ,3 ,50984 
2016,강남구,234080 ,572140 ,274217 ,297923 ,567115 ,271604 ,295511 ,5025 ,2613 ,2412 ,2 ,61931 
2016,송파구,258382 ,664946 ,324087 ,340859 ,657831 ,320557 ,337274 ,7115 ,3530 ,3585 ,3 ,71064 
2016,강동구,177460 ,448471 ,223081 ,225390 ,444168 ,221118 ,223050 ,4303 ,1963 ,2340 ,3 ,53195 
2017,종로구,73594 ,164257 ,80094 ,84163 ,154770 ,75967 ,78803 ,9487 ,4127 ,5360 ,2 ,26182 
2017,중구,60412 ,134593 ,66337 ,68256 ,125709 ,62253 ,63456 ,8884 ,4084 ,4800 ,2 ,21384 
