No,번호,명       칭,구별,읍면동,위        치,주소,경도,위도,상태
1,1,성환조양,서북구,성환읍,성환리 356-19,충남 천안시 서북구 성환읍 성환리 356-19,127.130377538089,36.9164212799547,정좌표
2,2,이화,서북구,쌍용동,379-33,충남 천안시 서북구 쌍용동 379-33,127.133005295471,36.7970509953891,정좌표
3,3,경동,서북구,쌍용동,380-4,충남 천안시 서북구 쌍용동 380-4,127.13249730551,36.7966720765963,정좌표
4,4,대우목화,서북구,성정동,643,충남 천안시 서북구 성정동 643,127.141770753087,36.8231198791008,정좌표
5,5,주공5단지,서북구,성정동,717,충남 천안시 서북구 성정동 717,127.138599306911,36.8149621785771,정좌표
6,6,주공6단지1차,서북구,성정동,785,충남 천안시 서북구 성정동 785,127.134018635466,36.8254457220072,정좌표
7,7,미성,서북구,성환읍,매주리 314-1,충남 천안시 서북구 성환읍 매주리 314-1,127.132897626659,36.9122947881965,정좌표
8,8,현대,서북구,성정동,413-13,충남 천안시 서북구 성정동 413-13,127.13591167479,36.8238563359261,정좌표
9,9,주공6단지2차,서북구,성정동,787,충남 천안시 서북구 성정동 787,127.133727486125,36.8239881475399,정좌표
10,10,주공6단지3차,서북구,성정동,789,충남 천안시 서북구 성정동 789,127.134345680332,36.8228972624373,정좌표
11,11,대우목화4차,서북구,쌍용동,"554, 봉명동 219","충남 천안시 서북구 쌍용동 554, 봉명동 219",127.132772645623,36.7976576259544,인근좌표
12,12,일진,서북구,직산읍,삼은리 72-4 ,충남 천안시 서북구 직산읍 삼은리 72-4 ,127.152228564608,36.8796911229756,정좌표
13,13,성산연립주택,서북구,성환읍,성월리 65-35,충남 천안시 서북구 성환읍 성월리 65-35,127.141901523341,36.9113928255656,정좌표
14,14,근로자복지,서북구,쌍용동,558-6,충남 천안시 서북구 쌍용동 558-6,127.133343841403,36.800608327329,정좌표
15,15,대우성정프라자,서북구,성정동,658-1,충남 천안시 서북구 성정동 658-1,127.141930877343,36.8220099112243,정좌표
