No,No,연번,구분,학교명,학급수,학생수(명),우편번호,주소,연락처,,경도,위도,상태,지번주소
1,1,1,유치원,천안도솔유치원,11,120,31111,충남 천안시 서북구 두정역동3길 3,041-522-9791,충남 천안시 서북구,127.1509865,36.83562143,정좌표,충청남도 천안시 서북구 두정동 1722
2,2,2,유치원,천안성정유치원,7,120,31141,충남 천안시 서북구 성정7길 3,041-571-1057,충남 천안시 서북구,127.1401719,36.81571641,정좌표,충청남도 천안시 서북구 성정동 716-3
3,3,3,유치원,천안버들유치원,13,240,31156,충남 천안시 서북구 불당23로 41,041-906-7771,충남 천안시 서북구,127.105602,36.81913935,정좌표,충청남도 천안시 서북구 불당동 1500
4,4,4,유치원,천안성성유치원,12,180,31079,충남 천안시 서북구 성성10길 10-4,041-564-1832,충남 천안시 서북구,127.1368522,36.84053146,정좌표,충청남도 천안시 서북구 성성동 790
5,5,5,유치원,천안불당유치원,14,240,31156,충남 천안시 서북구 불당27로 12,041-567-1571,충남 천안시 서북구,127.1709436,36.87919651,인근좌표,충청남도 천안시 서북구 성거읍 소우리 182-4
6,6,6,유치원,환서초등학교병설유치원,1,25,31097,충남 천안시 서북구 한들2로 34-41,041-551-8380,충남 천안시 서북구,127.1221244,36.82865161,정좌표,충청남도 천안시 서북구 백석동 105
7,7,7,유치원,천안부대초등학교병설유치원,1,20,31080,충남 천안시 서북구 공대길 37,041-551-2461,충남 천안시 서북구,127.1525992,36.84835814,정좌표,충청남도 천안시 서북구 부대동 270-1
8,8,8,유치원,천안업성초등학교병설유치원,1,20,31076,충남 천안시 서북구 업성 5길 20 ,041-583-3687,충남 천안시 서북구,127.141648,36.86162216,정좌표,충청남도 천안시 서북구 업성동 99-1
9,9,9,유치원,천안미라초등학교병설유치원,6,85,31155,충남 천안시 서북구 미라2길 13,041-571-0147,충남 천안시 서북구,127.1282415,36.8008257,정좌표,충청남도 천안시 서북구 쌍용동 1231
10,10,10,유치원,천안쌍용초등학교병설유치원,4,60,31166,충남 천안시 서북구 쌍용6길 9,041-571-8618,충남 천안시 서북구,127.1231695,36.8013169,정좌표,충청남도 천안시 서북구 쌍용동 1300
11,11,11,유치원,성환초등학교병설유치원,2,40,31015,충남 천안시 서북구 성환읍 성환12길 37,041-581-9555,충남 천안시 서북구,127.1324566,36.91804994,정좌표,충청남도 천안시 서북구 성환읍 성환리 274-2
